applicationId,totalMonthlyIncome,totalCommitments,debtServiceRatio,newDebtServiceRatio,savingsAmount,cashReserveMonths,ctosScore,creditScoreCategory,totalCreditUtilization,numberOfLatePayments,employmentTenureMonths,employmentStabilityScore,loanAmount,instalmentToIncomeRatio,approvalDecision
LA-2026-000001,11480.23,1659.84,0.121,0.347,34661.84,7.3,776,3,0.58,0,58,0.97,71660.53,0.226,1
LA-2026-000002,3010.61,3004.46,0.79,2.103,27449.12,3.4,588,1,0.11,0,12,0.2,57649.35,1.313,0
LA-2026-000003,5684.62,3082.17,0.44,0.473,3159.14,1.0,781,3,0.65,0,79,1.0,7768.0,0.033,1
LA-2026-000004,3522.85,845.26,0.223,0.56,20248.55,9.5,580,1,0.15,0,14,0.23,75315.63,0.337,0
LA-2026-000005,3392.9,4269.78,0.984,1.545,25559.64,3.8,707,2,0.23,0,30,0.5,78810.67,0.561,1
LA-2026-000006,4999.2,2458.71,0.41,0.543,16766.23,5.1,677,2,0.13,0,25,0.42,35612.23,0.133,0
LA-2026-000007,6276.53,2257.21,0.386,0.442,5710.96,2.2,719,2,0.58,0,31,0.52,10950.39,0.056,1
LA-2026-000008,7095.58,1272.37,0.17,0.334,15161.36,6.1,840,3,0.38,0,81,1.0,28225.51,0.164,1
LA-2026-000009,2772.81,1642.68,0.474,0.965,15621.09,4.7,411,0,0.12,0,7,0.12,86904.33,0.491,0
LA-2026-000010,1292.99,443.38,0.275,1.795,42917.78,14.8,322,0,0.65,0,7,0.12,79553.63,1.52,0
LA-2026-000011,3149.1,1506.41,0.376,0.758,10461.46,3.4,623,1,0.16,0,12,0.2,62950.9,0.382,0
LA-2026-000012,11255.07,1051.57,0.073,0.108,4760.3,3.1,824,3,0.18,0,70,1.0,16490.57,0.034,0
LA-2026-000013,5531.67,3075.34,0.421,0.547,14790.12,3.7,719,2,0.66,0,17,0.28,61757.41,0.127,1
LA-2026-000014,5245.63,3118.81,0.458,0.555,4347.63,1.2,696,2,0.63,2,29,0.48,41511.99,0.097,1
LA-2026-000015,6187.42,3037.01,0.522,0.72,2815.76,0.7,717,2,0.55,0,31,0.52,58454.05,0.198,0
LA-2026-000016,2825.28,1589.5,0.518,1.321,48678.84,12.0,335,0,0.29,2,11,0.18,78511.1,0.803,0
LA-2026-000017,1319.99,4672.21,3.056,3.797,38809.34,6.7,346,0,0.46,0,8,0.13,71042.84,0.741,0
LA-2026-000018,1673.67,920.38,0.47,0.838,12334.76,7.5,516,0,0.4,4,3,0.05,16499.77,0.368,1
LA-2026-000019,5046.47,2792.5,0.435,0.562,10446.55,2.9,661,2,0.52,1,16,0.27,26055.54,0.127,0
LA-2026-000020,2344.05,2563.01,0.839,1.808,50395.65,9.1,386,0,0.12,0,10,0.17,65103.97,0.968,0
LA-2026-000021,2485.05,1698.92,0.58,1.306,17084.22,4.5,623,1,0.4,1,13,0.22,47803.69,0.726,0
LA-2026-000022,2836.7,1827.33,0.547,0.578,2707.49,1.4,402,0,0.69,2,4,0.07,5840.87,0.031,0
LA-2026-000023,6375.04,1884.96,0.241,0.318,7890.68,3.2,738,2,0.58,0,58,0.97,36572.19,0.077,1
LA-2026-000024,7392.38,1475.48,0.166,0.273,14493.63,6.0,781,3,0.13,0,82,1.0,66211.65,0.107,1
LA-2026-000025,3477.29,1502.87,0.453,0.522,8928.51,5.2,434,0,0.25,0,8,0.13,11878.26,0.069,0
LA-2026-000026,3807.17,3401.56,0.734,1.419,17924.03,2.7,569,1,0.34,4,7,0.12,37209.89,0.685,0
LA-2026-000027,3801.25,3242.92,0.692,0.962,15601.28,3.5,699,2,0.56,0,18,0.3,75181.72,0.269,0
LA-2026-000028,1856.26,2780.33,1.207,1.74,25119.81,6.3,334,0,0.56,4,1,0.02,53152.79,0.533,0
LA-2026-000029,6496.72,3114.94,0.406,0.51,9903.11,2.5,667,2,0.18,2,20,0.33,54410.27,0.104,0
LA-2026-000030,6606.57,2940.53,0.396,0.45,12383.64,3.7,704,2,0.52,0,34,0.57,16668.1,0.054,1
LA-2026-000031,3461.23,2850.64,0.661,2.263,28942.71,3.0,646,1,0.41,2,14,0.23,81173.41,1.602,0
LA-2026-000032,5522.76,1869.3,0.345,0.534,25960.27,9.0,704,2,0.61,0,14,0.23,33137.44,0.19,0
LA-2026-000033,12382.99,1795.27,0.145,0.294,27532.6,7.6,835,3,0.53,0,83,1.0,97909.41,0.149,1
LA-2026-000034,11780.1,1972.97,0.141,0.226,28427.8,9.0,826,3,0.25,0,113,1.0,76760.09,0.085,1
LA-2026-000035,4352.22,1952.37,0.34,0.476,37317.72,13.7,677,2,0.42,0,21,0.35,49418.21,0.135,1
LA-2026-000036,9832.42,108.7,0.009,0.099,13345.93,11.0,779,3,0.41,0,73,1.0,55597.03,0.09,1
LA-2026-000037,2460.41,2916.42,1.301,1.467,14109.94,4.3,466,0,0.67,5,12,0.2,23099.47,0.167,0
LA-2026-000038,14295.31,2642.38,0.18,0.284,38780.34,9.3,811,3,0.21,0,39,0.65,92924.35,0.104,1
LA-2026-000039,2583.24,2716.46,0.893,1.298,17680.34,4.5,357,0,0.17,0,5,0.08,54807.2,0.405,0
LA-2026-000040,2154.04,3337.77,1.178,1.561,24468.13,5.5,557,1,0.3,4,11,0.18,73457.94,0.383,0
LA-2026-000041,1291.58,139.95,0.086,1.086,72262.94,41.0,486,0,0.17,3,8,0.13,93123.82,1.0,0
LA-2026-000042,11155.94,1379.96,0.097,0.163,13194.58,5.7,795,3,0.37,0,107,1.0,58238.43,0.066,1
LA-2026-000043,3912.31,1553.65,0.357,1.318,36736.22,6.4,624,1,0.6,0,9,0.15,48208.83,0.961,0
LA-2026-000044,9685.27,862.46,0.075,0.27,8400.94,2.7,778,3,0.68,0,105,1.0,74555.06,0.195,1
LA-2026-000045,4041.1,2646.26,0.695,1.499,9769.05,1.7,629,1,0.5,1,11,0.18,35265.34,0.803,0
LA-2026-000046,5150.64,2453.4,0.491,1.074,51586.01,9.6,613,1,0.15,1,15,0.25,66247.92,0.583,1
LA-2026-000047,5765.89,2466.04,0.333,0.657,6781.73,1.4,704,2,0.7,0,14,0.23,98559.66,0.323,1
LA-2026-000048,7192.09,3300.85,0.369,0.415,9661.84,2.6,826,3,0.38,0,38,0.63,13173.78,0.046,1
LA-2026-000049,4576.65,2371.89,0.462,0.788,29305.36,7.2,662,2,0.45,1,19,0.32,37268.43,0.326,1
LA-2026-000050,4720.23,2507.81,0.536,0.565,6687.13,2.5,573,1,0.23,0,18,0.3,9678.41,0.029,1
LA-2026-000051,2933.79,2574.78,0.922,1.311,33713.98,9.2,626,1,0.48,2,8,0.13,65818.33,0.389,0
LA-2026-000052,13946.93,3225.95,0.244,0.349,7662.37,1.7,767,3,0.54,0,32,0.53,30551.71,0.105,1
LA-2026-000053,11788.9,3044.82,0.206,0.235,3728.09,1.1,762,3,0.39,0,78,1.0,22305.22,0.028,1
LA-2026-000054,7120.32,3959.18,0.45,0.548,6873.56,1.4,798,3,0.53,0,40,0.67,50542.37,0.098,0
LA-2026-000055,1638.11,579.41,0.333,0.619,24165.65,22.5,332,0,0.44,3,10,0.17,32344.54,0.286,0
LA-2026-000056,7603.1,836.01,0.104,0.223,8210.82,4.6,742,2,0.69,0,43,0.72,60766.78,0.119,1
LA-2026-000057,1826.24,3191.52,1.406,1.853,9717.06,2.3,429,0,0.53,3,12,0.2,75383.48,0.447,0
LA-2026-000058,2409.83,1880.49,0.656,1.435,44875.41,10.9,645,1,0.35,0,14,0.23,97724.38,0.779,0
LA-2026-000059,9100.72,2852.8,0.284,0.59,10926.84,1.8,772,3,0.34,0,73,1.0,35336.94,0.306,1
LA-2026-000060,8806.91,3132.94,0.295,0.391,2569.97,0.6,784,3,0.63,0,100,1.0,64522.97,0.096,1
LA-2026-000061,7872.61,638.65,0.063,0.097,8014.11,8.1,740,2,0.1,0,35,0.58,24182.47,0.035,1
LA-2026-000062,2135.69,2570.49,0.991,1.062,1225.97,0.4,621,1,0.27,2,10,0.17,11488.69,0.071,0
LA-2026-000063,2808.73,639.48,0.197,1.697,21863.78,4.0,591,1,0.42,1,11,0.18,56842.85,1.5,0
LA-2026-000064,1317.15,3119.92,2.059,2.315,5822.45,1.7,325,0,0.46,4,11,0.18,24385.14,0.256,0
LA-2026-000065,11255.46,2792.85,0.188,0.291,19217.36,4.4,831,3,0.57,0,72,1.0,50659.09,0.103,1
LA-2026-000066,2953.7,1532.84,0.438,1.075,23064.25,6.1,322,0,0.43,3,5,0.08,95676.21,0.636,0
LA-2026-000067,3853.26,2533.41,0.513,1.131,43153.86,7.7,591,1,0.35,0,18,0.3,68647.7,0.618,0
LA-2026-000068,11766.3,3083.94,0.22,0.258,2015.1,0.6,781,3,0.1,0,46,0.77,32479.76,0.038,1
LA-2026-000069,2904.44,1280.94,0.352,0.554,29767.54,14.8,572,1,0.21,5,7,0.12,48684.15,0.202,1
LA-2026-000070,4113.27,1847.79,0.375,0.522,4288.57,1.7,634,1,0.22,2,13,0.22,8509.04,0.147,1
LA-2026-000071,8600.69,3635.22,0.344,0.473,3260.3,0.7,790,3,0.11,0,50,0.83,15949.71,0.129,1
LA-2026-000072,6269.82,580.09,0.074,0.15,23140.74,19.7,817,3,0.16,0,108,1.0,29911.57,0.076,1
LA-2026-000073,4058.41,1918.34,0.367,0.647,43781.05,12.9,705,2,0.12,0,18,0.3,77449.49,0.28,0
LA-2026-000074,2313.37,989.27,0.326,0.967,64205.24,21.9,432,0,0.42,1,3,0.05,95170.92,0.64,0
LA-2026-000075,2251.36,1898.28,0.684,1.058,25495.91,8.7,452,0,0.34,1,6,0.1,33151.14,0.374,0
LA-2026-000076,10981.25,2627.37,0.202,0.308,31760.91,7.9,751,3,0.33,0,37,0.62,88391.14,0.106,1
LA-2026-000077,3568.81,337.77,0.077,0.131,5455.47,9.5,562,1,0.14,0,10,0.17,7668.97,0.054,0
LA-2026-000078,13840.17,1895.06,0.128,0.138,5361.79,2.6,836,3,0.17,0,119,1.0,8375.27,0.01,1
LA-2026-000079,4914.37,960.3,0.164,0.524,55963.23,18.2,700,2,0.22,0,15,0.25,86920.93,0.36,0
LA-2026-000080,6454.46,1798.15,0.254,0.287,2685.88,1.3,844,3,0.28,0,106,1.0,7572.01,0.032,1
LA-2026-000081,1593.26,3277.63,1.737,2.068,8134.45,2.1,373,0,0.57,5,6,0.1,43310.88,0.331,0
LA-2026-000082,4438.51,2980.1,0.567,1.737,4399.74,0.5,696,2,0.29,0,33,0.55,72013.39,1.17,1
LA-2026-000083,2487.47,4346.57,1.467,1.594,12489.18,2.6,362,0,0.46,0,11,0.18,21608.28,0.126,0
LA-2026-000084,3609.55,1575.2,0.369,0.94,23152.42,5.8,578,1,0.55,5,18,0.3,80861.94,0.571,0
LA-2026-000085,3521.94,499.73,0.148,0.547,23714.87,12.8,512,0,0.4,1,7,0.12,77957.47,0.399,0
LA-2026-000086,7584.11,805.46,0.115,0.304,7916.97,3.7,766,3,0.27,0,120,1.0,29902.47,0.189,1
LA-2026-000087,2598.88,2060.64,0.671,1.343,65978.96,16.0,599,1,0.45,1,12,0.2,90584.43,0.673,0
LA-2026-000088,3171.87,2821.46,0.69,1.107,45831.68,10.1,666,2,0.46,2,15,0.25,57692.5,0.418,0
LA-2026-000089,12132.31,170.48,0.012,0.081,33556.04,28.2,730,2,0.24,0,66,1.0,42440.08,0.07,1
LA-2026-000090,6653.22,1460.46,0.177,0.241,2971.1,1.5,833,3,0.19,0,41,0.68,16777.03,0.064,1
LA-2026-000091,3773.02,2837.43,0.754,0.814,4532.31,1.5,571,1,0.14,5,16,0.27,7257.06,0.06,0
LA-2026-000092,3276.3,2486.33,0.61,0.885,45933.18,12.7,617,1,0.19,1,14,0.23,79024.59,0.275,0
LA-2026-000093,2099.48,1659.14,0.622,1.483,16502.66,4.2,341,0,0.52,5,8,0.13,97326.51,0.861,0
LA-2026-000094,4988.02,2004.01,0.329,0.498,13062.41,4.3,701,2,0.33,0,22,0.37,50467.55,0.169,1
LA-2026-000095,1845.77,3907.28,2.072,6.622,58367.19,4.7,459,0,0.45,2,12,0.2,98632.28,4.549,0
LA-2026-000096,2921.81,3467.82,0.934,1.041,18642.04,4.8,553,1,0.41,3,10,0.17,24167.8,0.107,0
LA-2026-000097,4521.45,3690.62,0.842,1.157,9500.99,1.9,715,2,0.44,0,30,0.5,82351.57,0.315,1
LA-2026-000098,1937.62,4008.92,1.59,1.779,2870.3,0.6,392,0,0.18,5,12,0.2,21106.11,0.189,0
LA-2026-000099,7778.72,1668.7,0.224,0.742,40813.53,7.4,768,3,0.66,0,66,1.0,85785.84,0.519,1
LA-2026-000100,8333.85,697.6,0.087,0.525,36922.64,8.7,804,3,0.41,0,56,0.93,77916.57,0.439,1
LA-2026-000101,3580.24,2058.76,0.463,0.854,36027.47,9.5,566,1,0.51,4,13,0.22,76618.1,0.391,0
LA-2026-000102,3912.36,2424.31,0.492,0.847,45237.07,10.9,663,2,0.68,1,21,0.35,73591.5,0.354,1
LA-2026-000103,2864.29,762.79,0.226,0.759,4975.84,1.9,450,0,0.14,0,3,0.05,57784.68,0.532,0
LA-2026-000104,2530.5,3667.65,1.228,1.588,34980.88,7.4,469,0,0.61,0,12,0.2,60706.44,0.359,0
LA-2026-000105,6501.65,1972.57,0.28,0.571,36958.27,9.2,717,2,0.6,0,16,0.27,66911.61,0.291,1
LA-2026-000106,1742.77,1779.29,0.845,1.234,37550.25,14.5,314,0,0.35,5,5,0.08,50775.92,0.389,0
LA-2026-000107,2247.63,2805.64,1.049,1.644,2950.07,0.7,552,1,0.67,1,17,0.28,80869.59,0.595,1
LA-2026-000108,8558.95,2093.73,0.204,0.48,44323.79,9.0,811,3,0.62,0,79,1.0,92875.69,0.275,1
LA-2026-000109,10174.98,2930.71,0.239,0.247,3422.28,1.1,737,2,0.25,0,27,0.45,7696.41,0.008,1
LA-2026-000110,2223.91,2416.7,0.916,1.883,59733.87,12.0,468,0,0.69,3,2,0.03,81022.14,0.967,0
LA-2026-000111,4084.98,4152.54,0.891,0.994,3246.21,0.7,700,2,0.44,0,22,0.37,29873.19,0.104,1
LA-2026-000112,2514.99,3270.62,1.083,1.576,5271.73,1.1,552,1,0.49,5,11,0.18,49089.53,0.493,1
LA-2026-000113,8417.73,1851.25,0.224,0.695,42567.63,7.4,824,3,0.51,0,72,1.0,88733.32,0.472,1
LA-2026-000114,3892.27,2868.42,0.796,0.83,4722.77,1.6,558,1,0.37,4,9,0.15,7147.91,0.033,0
LA-2026-000115,6012.53,4577.93,0.616,0.818,25100.81,4.1,673,2,0.19,1,18,0.3,89424.41,0.201,0
LA-2026-000116,5269.67,518.48,0.075,0.207,6245.45,4.4,700,2,0.36,0,16,0.27,10752.57,0.132,1
LA-2026-000117,2310.83,2764.95,1.04,1.609,40365.57,9.4,379,0,0.26,5,3,0.05,61284.86,0.568,0
LA-2026-000118,2793.08,609.05,0.185,0.934,42022.79,13.7,361,0,0.2,1,1,0.02,82149.8,0.748,0
LA-2026-000119,2508.08,3322.47,1.233,1.818,30106.43,6.1,637,1,0.64,1,6,0.1,64672.43,0.585,0
LA-2026-000120,2181.77,1165.24,0.409,0.873,12230.1,4.9,430,0,0.17,0,12,0.2,55842.8,0.465,0
LA-2026-000121,1705.68,975.15,0.56,1.632,71033.57,25.0,331,0,0.53,5,7,0.12,93820.82,1.072,0
LA-2026-000122,6706.48,269.81,0.034,0.77,51848.26,8.5,773,3,0.24,0,118,1.0,67268.46,0.736,1
LA-2026-000123,2458.02,3850.22,1.274,2.051,43569.86,7.0,504,0,0.36,2,4,0.07,80144.79,0.777,1
LA-2026-000124,3496.7,2681.2,0.594,0.685,9452.27,3.1,632,1,0.19,1,18,0.3,17642.0,0.091,0
LA-2026-000125,7577.01,2449.47,0.349,0.37,5995.57,2.3,688,2,0.45,0,19,0.32,8539.04,0.021,0
LA-2026-000126,11357.9,478.55,0.043,0.074,4390.89,5.3,807,3,0.26,0,36,0.6,25217.61,0.031,1
LA-2026-000127,2340.37,2056.42,0.699,1.076,15983.32,5.1,333,0,0.41,5,12,0.2,71736.15,0.376,0
